event-id;time;long;lat;height-above-ellipsoid
249744936;2013-09-27 12:00:06.000;16.4525988;12.9301099;221.8
249744935;2013-09-27 13:30:12.000;16.4528232;12.9305978;148.4
249744934;2013-09-27 15:00:17.000;16.4582282;12.9285395;120.1
249744933;2013-09-27 16:30:25.000;16.4528529;12.9305767;111.6
249744932;2013-09-27 18:00:23.000;16.4364117;12.9465176;64.6
250043049;2013-09-28 12:01:12.000;16.413756499999998;12.718116799999999;56.3
250043048;2013-09-28 13:30:07.000;16.4607955;12.9297416;51.5
250043047;2013-09-28 15:01:28.000;16.4617266;12.930399;53.1
250043046;2013-09-28 16:31:18.000;16.4602233;12.9303174;93.9
250043045;2013-09-28 18:00:59.000;16.436391999999998;12.9459967;68.3
250043054;2013-09-29 12:00:09.000;16.1261814;12.522808;159.8
250043053;2013-09-29 13:32:22.000;16.1263944;12.5222275;286.8
250043052;2013-09-29 15:00:17.000;16.1267928;12.523297;315.4
250043051;2013-09-29 16:30:14.000;16.1274849;12.521815499999999;356.9
250043050;2013-09-29 18:00:35.000;16.1273129;12.521749199999999;491.3
250043059;2013-09-30 04:30:17.000;16.1279717;12.5217148;841.8
250043058;2013-09-30 06:00:11.000;16.134131;12.5252837;471.1
250043057;2013-09-30 07:35:29.000;16.134319899999998;12.5243477;123.6
250043056;2013-09-30 09:00:16.000;16.1273526;12.5216832;
250043055;2013-09-30 10:32:28.000;16.1272587;12.5226515;131.2
250102096;2013-09-30 12:00:15.000;16.2411271;12.4609469;120.8
250102095;2013-09-30 13:31:13.000;16.2659934;12.273519499999999;121.1
250102094;2013-09-30 15:00:22.000;16.2503097;12.3319827;121.7
250102093;2013-09-30 16:30:11.000;16.2777828;12.615517599999999;134.0
250102092;2013-09-30 18:00:24.000;16.2781771;12.6164103;142.1
250385750;2013-10-02 12:00:15.000;16.3119209;12.5455414;147.1
250385749;2013-10-02 13:35:22.000;16.2760149;12.6147729;130.5
250385748;2013-10-02 15:01:22.000;16.2759546;12.6147871;142.2
250385747;2013-10-02 16:32:17.000;16.2774799;12.6157734;145.8
250385746;2013-10-02 18:00:51.000;16.277526599999998;12.6160664;141.8
250611283;2013-10-03 04:30:12.000;16.2789407;12.596372299999999;126.4
250611282;2013-10-03 06:00:46.000;16.2870246;12.5312387;128.9
250611281;2013-10-03 07:31:12.000;16.285483799999998;12.5324604;136.3
250611280;2013-10-03 09:01:44.000;16.284536799999998;12.531184999999999;146.7
250611279;2013-10-03 10:33:38.000;16.3616875;12.4364961;130.6
250654328;2013-10-03 12:01:04.000;16.344688299999998;12.4702532;103.9
250654327;2013-10-03 13:35:17.000;16.3014063;12.5470574;
250654326;2013-10-03 15:00:14.000;16.2765552;12.6168158;
250654325;2013-10-03 16:30:13.000;16.276566799999998;12.6168157;128.3
250654324;2013-10-03 18:00:51.000;16.2766175;12.6167891;137.3
250707124;2013-10-04 04:30:12.000;16.283839699999998;12.6087577;124.7
250707123;2013-10-04 06:00:46.000;16.3448159;12.5775089;
250707122;2013-10-04 07:30:27.000;16.313899799999998;12.552674699999999;138.3
